LINEA;PRODUCTO;PRECIO;;;;
BIOCAMBIO360;Alcohol ethanol 96% 1/2 Galón;25000;;;;
BIOCAMBIO360;Alcohol ethanol 96% 20 L;177000;;;;
BIOCAMBIO360;Alcohol ethanol 96% Galón;45000;;;;
BIOCAMBIO360;Alcohol glicerinado 70% 1/2 Galón;27000;;;;
BIOCAMBIO360;Alcohol glicerinado 70% 1L;16000;;;;
BIOCAMBIO360;Alcohol glicerinado 70% 20 L;147000;;;;
BIOCAMBIO360;Alcohol Glicerinado 70% 500ML;11000;;;;
BIOCAMBIO360;Alcohol glicerinado 70% Galón;49000;;;;
BIOCAMBIO360;Alcohol perfumistico Galon;75000;;;;
BIOCAMBIO360;Ambientador 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador Canela 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador Canela 10 L;110000;;;;
BIOCAMBIO360;Ambientador Canela 500ML;17000;;;;
BIOCAMBIO360;Ambientador Canela Galón;64000;;;;
BIOCAMBIO360;Ambientador chicle 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador Chicle 10 L;110000;;;;
BIOCAMBIO360;Ambientador chicle 20 L;166000;;;;
BIOCAMBIO360;Ambientador Chicle 500ML;17000;;;;
BIOCAMBIO360;Ambientador chicle Galón;64000;;;;
BIOCAMBIO360;Ambientador kiwi 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador Kiwi 10 L;110000;;;;
BIOCAMBIO360;Ambientador kiwi 20 L;166000;;;;
BIOCAMBIO360;Ambientador Kiwi 500ML;17000;;;;
BIOCAMBIO360;Ambientador kiwi Galón;64000;;;;
BIOCAMBIO360;Ambientador talco 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador Talco 10 L;110000;;;;
BIOCAMBIO360;Ambientador talco 20 L;166000;;;;
BIOCAMBIO360;Ambientador Talco 500ML;17000;;;;
BIOCAMBIO360;Ambientador talco Galón;64000;;;;
BIOCAMBIO360;Ambientador Tutti Frutti 500ML;17000;;;;
BIOCAMBIO360;Ambientador tutti-frutti 1/2 Galón;33000;;;;
BIOCAMBIO360;Ambientador tutti-frutti 10 L;110000;;;;
BIOCAMBIO360;Ambientador tutti-frutti 20 L;166000;;;;
BIOCAMBIO360;Ambientador tutti-frutti Galón;64000;;;;
BIOCAMBIO360;Aroma;1000;;;;
BIOCAMBIO360;Bactokil 1L;9500;;;;
BIOCAMBIO360;Bactokill 1/2 Galón;16500;;;;
BIOCAMBIO360;Bactokill 10 L;69000;;;;
BIOCAMBIO360;Bactokill 1L;9500;;;;
BIOCAMBIO360;Bactokill 20 L;124000;;;;
BIOCAMBIO360;Bactokill Galón;32000;;;;
BIOCAMBIO360;Bala Litro PET;700;;;;
BIOCAMBIO360;Bicarbonato 25 Kg;190000;;;;
BIOCAMBIO360;Bicarbonato de sodio 1 kg;14500;;;;
BIOCAMBIO360;Bicarbonato de sodio 10 kg;100000;;;;
BIOCAMBIO360;Bicarbonato de sodio 20 kg;180000;;;;
BIOCAMBIO360;Bicarbonato de sodio 4 kg;44000;;;;
BIOCAMBIO360;Blanqueador - Desinfectante 1/2 Galón;11000;;;;
BIOCAMBIO360;Blanqueador - Desinfectante 10 L;47000;;;;
